carat,cut,color,clarity,price,size
0.23,Ideal,E,SI2,326,38.2
0.21,Premium,E,SI1,326,34.51
0.23,Good,E,VS1,327,38.08
0.29,Premium,I,VS2,334,46.72
0.31,Good,J,SI2,335,51.92
0.24,Very Good,J,VVS2,336,38.69
0.24,Very Good,I,VVS1,336,38.83
0.26,Very Good,H,SI1,337,42.32
0.22,Fair,E,VS2,337,36.43
0.23,Very Good,H,VS1,338,38.72
0.3,Good,J,SI1,339,49.66
0.23,Ideal,J,VS1,340,37.7
0.22,Premium,F,SI1,342,34.72
0.31,Ideal,J,SI2,344,51.52
0.2,Premium,E,SI2,345,32.26
0.32,Premium,E,I1,345,51.88
0.3,Ideal,I,SI2,348,50.13
0.3,Good,J,SI1,351,49.0
0.3,Good,J,SI1,351,48.83
0.3,Very Good,J,SI1,351,47.82
0.3,Good,I,SI2,351,49.64
0.23,Very Good,E,VS2,352,37.43
0.23,Very Good,H,VS1,353,37.6
0.31,Very Good,J,SI1,353,50.95
0.31,Very Good,J,SI1,353,51.4
0.23,Very Good,G,VVS2,354,38.37
0.24,Premium,I,VS1,355,38.64
0.3,Very Good,J,VS2,357,49.14
0.23,Very Good,D,VS2,357,37.73
0.23,Very Good,F,VS1,357,38.24
0.23,Very Good,F,VS1,402,38.85
0.23,Very Good,F,VS1,402,39.69
0.23,Very Good,E,VS1,402,38.53
0.23,Very Good,E,VS1,402,39.07
0.23,Very Good,D,VS1,402,37.88
0.23,Good,F,VS1,402,39.26
0.23,Good,E,VS1,402,36.27
0.31,Good,H,SI1,402,50.85
0.26,Very Good,D,VS2,403,43.3
0.33,Ideal,I,SI2,403,56.29
0.33,Ideal,I,SI2,403,55.56
0.33,Ideal,J,SI1,403,56.39
0.26,Good,D,VS2,403,41.86
0.26,Good,D,VS1,403,43.7
0.32,Good,H,SI2,403,52.16
0.29,Premium,F,SI1,403,47.87
0.32,Very Good,H,SI2,403,52.11
0.32,Good,H,SI2,403,53.28
0.25,Very Good,E,VS2,404,40.94
0.29,Very Good,H,SI2,404,49.95
0.24,Very Good,F,SI1,404,39.69
0.23,Ideal,G,VS1,404,37.88
0.32,Ideal,I,SI1,404,54.23
0.22,Premium,E,VS2,404,36.84
0.22,Premium,D,VS2,404,35.04
0.3,Ideal,I,SI2,405,48.97
0.3,Premium,J,SI2,405,50.64
0.3,Very Good,I,SI1,405,48.57
0.3,Very Good,I,SI1,405,50.11
0.3,Good,I,SI1,405,49.23
0.35,Ideal,I,VS1,552,57.93
0.3,Premium,D,SI1,552,48.05
0.3,Ideal,D,SI1,552,49.85
0.3,Ideal,D,SI1,552,49.9
0.42,Premium,I,SI2,552,68.48
0.28,Ideal,G,VVS2,553,45.62
0.32,Ideal,I,VVS1,553,52.97
0.31,Very Good,G,SI1,553,50.83
0.31,Premium,G,SI1,553,50.36
0.24,Premium,E,VVS1,553,39.43
0.24,Very Good,D,VVS1,553,38.91
0.3,Very Good,H,SI1,554,49.46
0.3,Premium,H,SI1,554,48.63
0.3,Premium,H,SI1,554,48.68
0.3,Good,H,SI1,554,49.59
0.26,Very Good,F,VVS2,554,44.03
0.26,Very Good,E,VVS2,554,44.06
0.26,Very Good,D,VVS2,554,43.14
0.26,Very Good,D,VVS2,554,41.09
0.26,Very Good,E,VVS1,554,42.34
0.26,Very Good,E,VVS1,554,41.21
0.26,Very Good,D,VVS1,554,42.01
0.26,Ideal,E,VVS2,554,41.46
0.38,Ideal,I,SI2,554,62.32
0.26,Good,E,VVS1,554,43.94
0.24,Premium,G,VVS1,554,37.94
0.24,Premium,H,VVS1,554,38.75
0.24,Premium,H,VVS1,554,39.24
0.24,Premium,H,VVS2,554,40.45
0.32,Premium,I,SI1,554,51.42
0.7,Ideal,E,SI1,2757,116.4
0.86,Fair,E,SI2,2757,143.72
0.7,Ideal,G,VS2,2757,113.12
0.71,Very Good,E,VS2,2759,115.87
0.78,Very Good,G,SI2,2759,126.44
0.7,Good,E,VS2,2759,116.66
0.7,Good,F,VS1,2759,111.82
0.96,Fair,F,SI2,2759,151.84
0.73,Very Good,E,SI1,2760,118.73
0.8,Premium,H,SI1,2760,129.57
0.75,Very Good,D,SI1,2760,121.73
0.75,Premium,E,SI1,2760,128.02
0.74,Ideal,G,SI1,2760,121.81
0.75,Premium,G,VS2,2760,121.6
0.8,Ideal,I,VS1,2760,129.71
0.75,Ideal,G,SI1,2760,123.59
0.8,Premium,G,SI1,2760,126.49
0.74,Ideal,I,VVS2,2761,121.02
0.81,Ideal,F,SI2,2761,135.06
0.59,Ideal,E,VVS2,2761,97.86
0.8,Ideal,F,SI2,2761,131.24
0.74,Ideal,E,SI2,2761,122.62
0.9,Premium,I,VS2,2761,145.9
0.74,Very Good,G,SI1,2762,119.72
0.73,Ideal,F,VS2,2762,119.23
0.73,Ideal,F,VS2,2762,120.73
0.8,Premium,F,SI2,2762,130.72
0.71,Ideal,G,VS2,2762,117.95
0.7,Ideal,E,VS2,2762,115.19
0.8,Ideal,F,SI2,2762,132.06
0.71,Ideal,D,SI2,2762,116.07
0.74,Ideal,E,SI1,2762,122.41
0.7,Very Good,F,VS2,2762,109.79
0.7,Fair,F,VS2,2762,110.27
0.7,Fair,F,VS2,2762,114.98
0.7,Premium,F,VS2,2762,109.28
0.91,Premium,H,SI1,2763,134.52
0.61,Very Good,D,VVS2,2763,103.0
0.91,Fair,H,SI2,2763,146.23
0.91,Fair,H,SI2,2763,142.67
0.77,Ideal,H,VS2,2763,125.64
0.71,Very Good,D,SI1,2764,115.33
0.71,Ideal,D,SI1,2764,114.89
0.7,Very Good,E,VS2,2765,112.09
0.77,Very Good,H,VS1,2765,125.24
0.63,Premium,E,VVS1,2765,103.24
0.71,Very Good,F,VS1,2765,114.59
0.71,Premium,F,VS1,2765,115.09
0.76,Ideal,H,SI1,2765,125.45
0.64,Ideal,G,VVS1,2766,105.46
0.71,Premium,G,VS2,2766,116.65
0.71,Premium,G,VS2,2766,119.77
0.7,Very Good,D,VS2,2767,114.36
0.7,Very Good,F,VS1,2767,119.16
0.71,Ideal,D,SI2,2767,117.04
0.7,Good,H,VVS2,2767,111.14
0.71,Very Good,G,VS1,2768,109.0
0.73,Very Good,D,SI1,2768,120.46
0.7,Very Good,D,SI1,2768,112.86
0.7,Ideal,E,SI1,2768,115.52
0.71,Premium,D,SI2,2768,113.64
0.74,Ideal,I,SI1,2769,121.76
0.71,Premium,D,VS2,2770,111.57
0.73,Premium,G,VS2,2770,119.55
0.76,Very Good,F,SI1,2770,122.79
0.76,Ideal,D,SI2,2770,121.98
0.71,Ideal,F,SI1,2770,117.47
0.73,Premium,G,VS2,2770,121.28
0.73,Premium,G,VS1,2770,118.19
0.73,Ideal,D,SI2,2770,123.44
0.73,Premium,G,VS2,2770,121.28
0.72,Very Good,H,VVS2,2771,118.89
0.73,Very Good,F,SI1,2771,120.64
0.71,Ideal,G,VS2,2771,117.7
0.79,Ideal,F,SI2,2771,130.06
0.73,Very Good,H,VVS1,2772,121.56
0.8,Very Good,F,SI2,2772,133.0
0.58,Ideal,G,VVS1,2772,97.64
0.58,Ideal,F,VVS1,2772,94.45
0.71,Good,E,VS2,2772,118.0
0.75,Ideal,D,SI2,2773,124.04
0.7,Premium,D,VS2,2773,114.68
1.17,Very Good,J,I1,2774,194.63
0.6,Ideal,E,VS1,2774,98.59
0.7,Ideal,E,SI1,2774,116.72
0.83,Good,I,VS2,2774,130.37
0.74,Very Good,F,VS2,2775,120.92
0.72,Very Good,G,VS2,2776,115.44
0.71,Premium,E,VS2,2776,116.72
0.71,Ideal,E,VS2,2776,115.52
0.54,Ideal,E,VVS2,2776,89.64
0.54,Ideal,E,VVS2,2776,89.03
0.72,Ideal,G,SI1,2776,116.76
0.72,Ideal,G,SI1,2776,118.95
0.72,Good,G,VS2,2776,117.54
0.71,Ideal,G,SI1,2776,116.93
0.7,Very Good,D,VS1,2777,115.78
0.71,Premium,F,VS2,2777,114.09
0.71,Very Good,F,VS2,2777,114.25
0.71,Good,F,VS2,2777,113.59
0.71,Good,F,VS2,2777,117.75
0.7,Ideal,E,VS2,2777,114.09
0.7,Premium,E,VS2,2777,111.75
0.7,Premium,E,SI1,2777,115.19
0.7,Premium,E,SI1,2777,113.59
0.7,Premium,E,SI1,2777,113.0
0.7,Premium,E,SI1,2777,113.26
0.7,Premium,E,SI1,2777,116.05
0.7,Ideal,E,SI1,2777,115.57
0.72,Premium,F,SI1,2777,118.31
0.7,Very Good,E,SI1,2777,112.61
0.7,Premium,E,SI1,2777,113.19
0.7,Premium,E,SI1,2777,115.26
0.7,Good,E,VS2,2777,113.5
0.98,Fair,H,SI2,2777,147.36
0.78,Premium,F,SI1,2777,122.74
0.7,Very Good,E,SI1,2777,108.3
0.52,Ideal,F,VVS1,2778,86.42
0.73,Very Good,H,VS2,2779,120.66
0.74,Ideal,E,SI1,2779,121.6
0.7,Very Good,F,VS2,2780,113.47
0.77,Premium,G,VS2,2780,126.65
0.71,Ideal,F,VS2,2780,115.01
0.74,Ideal,G,VS1,2780,122.23
0.7,Ideal,G,VS1,2780,112.79
1.01,Premium,F,I1,2781,160.12
0.77,Ideal,H,SI1,2781,124.78
0.78,Ideal,H,SI1,2781,129.08
0.72,Very Good,H,VS1,2782,117.87
0.53,Very Good,D,VVS2,2782,88.32
0.76,Ideal,G,VS2,2782,127.22
0.7,Good,E,VS1,2782,110.96
0.7,Premium,E,VS1,2782,109.28
0.75,Very Good,D,SI2,2782,120.22
0.72,Ideal,D,SI1,2782,115.92
0.72,Premium,D,SI1,2782,116.72
0.7,Premium,D,SI1,2782,114.45
0.84,Fair,G,SI1,2782,137.47
0.75,Premium,F,SI1,2782,123.83
0.52,Ideal,F,IF,2783,85.47
0.72,Very Good,F,VS2,2784,117.37
0.79,Very Good,H,VS1,2784,129.87
0.72,Very Good,F,VS2,2787,116.26
0.51,Ideal,F,VVS1,2787,83.69
0.64,Ideal,D,VS1,2787,104.85
0.7,Very Good,H,VVS1,2788,115.26
0.83,Very Good,I,VS1,2788,137.74
0.76,Ideal,I,VVS2,2788,124.31
0.71,Good,D,VS2,2788,114.69
0.77,Good,G,VS1,2788,124.76
0.71,Ideal,F,SI1,2788,114.53
1.01,Fair,E,I1,2788,157.42
1.01,Premium,H,SI2,2788,154.25
0.77,Good,F,SI1,2789,124.71
0.76,Good,E,SI1,2789,124.68
0.76,Premium,E,SI1,2789,125.89
0.76,Premium,E,SI1,2789,123.12
1.05,Very Good,J,SI2,2789,171.21
0.81,Ideal,G,SI2,2789,132.4
0.7,Ideal,E,SI1,2789,116.1
0.55,Ideal,G,IF,2789,90.11
0.81,Good,G,SI2,2789,129.51
0.63,Premium,E,VVS2,2789,100.21
0.63,Premium,E,VVS1,2789,103.24
0.77,Premium,H,VS1,2789,125.24
1.05,Fair,J,SI2,2789,168.0
0.64,Ideal,G,IF,2790,105.41
0.76,Premium,I,VVS1,2790,125.1
0.83,Ideal,F,SI2,2790,136.94
0.71,Premium,F,VS1,2790,114.59
0.71,Premium,F,VS1,2790,115.09
0.87,Very Good,I,SI1,2791,143.29
0.73,Ideal,E,SI1,2791,118.77
0.71,Premium,E,SI1,2792,118.21
0.71,Premium,E,SI1,2792,116.02
0.71,Ideal,E,SI1,2792,116.18
0.7,Premium,F,VS1,2792,113.88
0.7,Premium,F,VS1,2792,116.32
0.76,Premium,H,VVS2,2792,121.56
0.7,Ideal,F,VS1,2792,115.54
0.79,Very Good,G,SI1,2793,132.27
